"id_atencion_por_departamento","id_departamento","codigo_cie","hombres","mujeres","ignorado","id_tipo_servicios"
499,"17",K81,15,147,0,1
500,"17",N85,0,132,0,1
501,"17",U07,51,59,1,1
502,"17",K80,16,79,1,1
503,"17",O80,0,93,0,1
504,"17",E14,30,56,0,1
505,"17",I10,42,40,0,1
506,"17",T14,49,33,0,1
507,"17",N39,19,59,0,1
508,"17",K37,37,35,1,1
509,"17",D25,0,69,0,1
510,"17",A09,21,42,0,1
511,"17",K40,44,17,0,1
512,"17",K35,24,36,0,1
513,"17",O06,0,60,0,1
514,"17",S52,33,27,0,1
515,"17",S82,37,16,0,1
516,"17",C91,17,31,0,1
517,"17",S72,22,25,0,1
518,"17",J18,27,19,0,1
519,"17",N83,0,41,0,1
520,"17",E11,18,19,0,1
521,"17",S42,28,9,0,1
522,"17",K31,16,20,0,1
523,"17",N73,0,36,0,1
524,"17",Z98,14,22,0,1
525,"17",S09,25,9,0,1
526,"17",D64,14,17,0,1
527,"17",R99,33,49,0,1
528,"18",O82,0,667,0,1
529,"18",Z38,268,294,0,1
530,"18",K81,40,230,0,1
531,"18",E14,46,84,0,1
532,"18",I10,53,65,0,1
533,"18",Z98,39,58,0,1
534,"18",O06,0,96,0,1
535,"18",N39,27,67,0,1
536,"18",A09,46,46,0,1
537,"18",N85,0,82,0,1
538,"18",K35,28,50,0,1
539,"18",J18,34,35,0,1
540,"18",O80,0,66,0,1
541,"18",N83,0,65,0,1
542,"18",D64,16,39,0,1
543,"18",K40,39,16,0,1
544,"18",S82,33,20,0,1
545,"18",D25,0,52,0,1
546,"18",N20,28,23,0,1
547,"18",N40,48,0,0,1
548,"18",T14,21,27,0,1
549,"18",L02,26,21,0,1
550,"18",K80,9,35,0,1
551,"18",S72,22,18,0,1
552,"18",T07,25,15,0,1
553,"18",S52,20,18,0,1
554,"18",U07,14,22,0,1
555,"18",Z41,12,23,0,1
556,"18",C91,13,20,0,1
557,"18",E11,15,17,0,1
