id_atencion_por_departamento,id_departamento,codigo_cie,id_tipo_servicio
1117,13,H52,2
1118,13,Z00,2
1119,13,Z30,2
1120,13,R99,2
1121,14,Z01,2
1122,14,N18,2
1123,14,Z34,2
1124,14,N39,2
1125,14,Z33,2
1126,14,A09,2
1127,14,I10,2
1128,14,K31,2
1129,14,E14,2
1130,14,K29,2
1131,14,K58,2
1132,14,C91,2
1133,14,M54,2
1134,14,N76,2
1135,14,Z71,2
1136,14,J18,2
1137,14,J03,2
1138,14,Z30,2
1139,14,N89,2
1140,14,E11,2
1141,14,N92,2
1142,14,J06,2
1143,14,J00,2
1144,14,U07,2
1145,14,H66,2
1146,14,Z98,2
1147,14,B82,2
1148,14,E78,2
1149,14,Z00,2
1150,14,H52,2
1151,14,R99,2
1152,15,N39,2
1153,15,Z01,2
1154,15,A09,2
1155,15,Z33,2
1156,15,N18,2
1157,15,I10,2
1158,15,U07,2
1159,15,E14,2
1160,15,M06,2
1161,15,H52,2
1162,15,H40,2
1163,15,B98,2
1164,15,K31,2
1165,15,C91,2
1166,15,K58,2
1167,15,A06,2
1168,15,J06,2
1169,15,Z98,2
1170,15,E11,2
1171,15,J00,2
1172,15,J03,2
1173,15,N76,2
1174,15,Z34,2
1175,15,Z00,2
1176,15,Z96,2
1177,15,M54,2
1178,15,L70,2
1179,15,Z71,2
1180,15,H66,2
1181,15,A97,2
1182,15,R99,2
1183,16,Z01,2
1184,16,Z34,2
1185,16,N39,2
1186,16,H52,2
1187,16,Z33,2
1188,16,A09,2
1189,16,N76,2
1190,16,H10,2
1191,16,N92,2
1192,16,C91,2
1193,16,E14,2
1194,16,Z98,2
1195,16,Z71,2
1196,16,J00,2
1197,16,Z30,2
1198,16,T15,2
1199,16,H40,2
1200,16,I10,2
1201,16,H26,2
1202,16,H11,2
1203,16,K31,2
1204,16,U07,2
1205,16,H04,2
1206,16,M54,2
1207,16,N72,2
1208,16,N89,2
1209,16,K58,2
1210,16,S05,2
1211,16,Z00,2
1212,16,N94,2
1213,16,R99,2
1214,17,Z01,2
1215,17,Z34,2
1216,17,N39,2
1217,17,C91,2
1218,17,N89,2
1219,17,Z33,2
1220,17,I10,2
1221,17,A09,2
1222,17,N76,2
1223,17,E14,2
1224,17,N18,2
