id_clave_rango,id_codigo_cie,id_tipo_servicio,id
2,A97,1,600
2,C64,1,601
2,Z98,1,602
2,Q53,1,603
2,J35,1,604
2,S42,1,605
2,N47,1,606
2,Z47,1,607
2,S09,1,608
2,C81,1,609
2,Z01,1,610
2,C92,1,611
2,A04,1,612
2,S82,1,613
2,K46,1,614
2,S01,1,615
2,U07,1,616
2,S72,1,617
2,J03,1,618
2,T07,1,619
2,R99,1,620
3,K35,1,621
3,C91,1,622
3,K37,1,623
3,S52,1,624
3,C41,1,625
3,A09,1,626
3,T14,1,627
3,Z98,1,628
3,O82,1,629
3,D43,1,630
3,K40,1,631
3,U07,1,632
3,A97,1,633
3,S09,1,634
3,C92,1,635
3,M79,1,636
3,S82,1,637
3,Z47,1,638
3,S42,1,639
3,J18,1,640
3,J34,1,641
3,N39,1,642
3,T07,1,643
3,N47,1,644
3,C79,1,645
3,N18,1,646
3,N44,1,647
3,J35,1,648
3,N83,1,649
3,S62,1,650
3,R99,1,651
4,O82,1,652
4,K35,1,653
4,K37,1,654
4,C91,1,655
4,O80,1,656
4,A09,1,657
4,N18,1,658
4,O06,1,659
4,K81,1,660
4,J34,1,661
4,Z41,1,662
4,Z98,1,663
4,T07,1,664
4,S82,1,665
4,N39,1,666
4,N83,1,667
4,S09,1,668
4,K40,1,669
4,K80,1,670
4,T14,1,671
4,U07,1,672
4,M79,1,673
4,C41,1,674
4,N63,1,675
4,S42,1,676
4,Z01,1,677
4,S52,1,678
4,O26,1,679
4,C49,1,680
4,S62,1,681
4,R99,1,682
5,O82,1,683
5,N18,1,684
5,U07,1,685
5,O80,1,686
5,O06,1,687
5,K35,1,688
5,K81,1,689
5,K37,1,690
5,A09,1,691
5,Z41,1,692
5,M79,1,693
5,K80,1,694
5,Z98,1,695
5,T07,1,696
5,N39,1,697
5,J34,1,698
5,N83,1,699
5,S82,1,700
5,T14,1,701
5,K40,1,702
5,S09,1,703
5,J00,1,704
5,O26,1,705
5,O20,1,706
5,S42,1,707
5,O72,1,708
5,O66,1,709
5,Z01,1,710
5,N74,1,711
5,N20,1,712
5,R99,1,713
6,O82,1,714
6,N18,1,715
6,O80,1,716
6,K81,1,717
6,U07,1,718
6,O06,1,719
6,Z41,1,720
6,K35,1,721
6,K37,1,722
6,K80,1,723
6,A09,1,724
6,Z98,1,725
6,M79,1,726
6,T07,1,727
6,N39,1,728
6,N83,1,729
6,S82,1,730
6,O72,1,731
6,T14,1,732
6,Z01,1,733
6,J34,1,734
6,K40,1,735
6,D25,1,736
6,O20,1,737
6,O66,1,738
6,N20,1,739
6,O26,1,740
6,M54,1,741
6,N85,1,742
6,K85,1,743
6,R99,1,744
7,O82,1,745
7,N18,1,746
7,K81,1,747
7,U07,1,748
7,O06,1,749
7,O80,1,750
7,Z41,1,751
7,Z98,1,752
7,K80,1,753
7,A09,1,754
7,K35,1,755
7,D25,1,756
7,K37,1,757
7,N85,1,758
7,N39,1,759
