id_clave_rango,id_codigo_cie,hombres,mujeres,ignorado,id_tipo_servicio
9,U07,317,264,2,1
9,Z98,156,256,1,1
9,K80,68,237,1,1
9,Z41,46,247,0,1
9,A09,126,150,0,1
9,O06,0,170,0,1
9,N39,38,127,0,1
9,K37,73,83,0,1
9,K35,59,93,2,1
9,I10,63,89,0,1
9,E14,56,75,1,1
9,Z01,42,90,0,1
9,M79,74,51,0,1
9,N83,0,123,0,1
9,N20,66,51,0,1
9,K40,66,45,0,1
9,T14,47,57,0,1
9,J18,50,53,0,1
9,M54,55,45,0,1
9,S82,44,50,0,1
9,N63,0,81,0,1
9,T07,55,25,0,1
9,K64,43,35,0,1
9,H11,38,37,0,1
9,J34,40,35,0,1
9,R99,453,601,0,1
10,N18,1487,500,0,1
10,N85,0,560,0,1
10,D25,0,546,0,1
10,U07,330,201,2,1
10,K81,102,409,1,1
10,Z98,130,255,0,1
10,A09,103,165,0,1
10,Z41,31,222,0,1
10,K80,61,188,0,1
10,E14,104,136,0,1
10,I10,89,113,0,1
10,N39,42,148,0,1
10,K35,65,86,0,1
10,Z01,53,76,0,1
10,N20,65,60,0,1
10,J18,63,59,0,1
10,K40,74,43,0,1
10,H26,68,38,0,1
10,K37,40,64,0,1
10,M54,52,50,0,1
10,K46,40,48,1,1
10,N83,0,88,0,1
10,H11,38,49,0,1
10,T14,45,41,1,1
10,M79,33,48,0,1
10,T07,40,35,0,1
10,F10,62,10,1,1
10,K42,26,44,0,1
10,S82,23,46,1,1
10,J34,36,33,0,1
10,R99,413,581,0,1
11,N18,1180,416,0,1
11,U07,251,243,0,1
11,K81,99,337,0,1
11,Z98,141,201,0,1
11,N85,0,300,0,1
11,E14,123,165,1,1
11,A09,66,150,0,1
11,D25,0,214,0,1
11,K80,48,164,1,1
11,I10,75,116,0,1
11,H26,82,99,0,1
11,N39,40,130,0,1
11,J18,80,78,1,1
11,Z41,23,116,0,1
11,N20,48,68,0,1
11,K40,75,40,0,1
11,K35,37,68,0,1
11,Z01,41,64,0,1
11,S82,40,54,0,1
11,T14,45,46,0,1
11,M79,44,44,0,1
11,H11,36,50,0,1
11,K37,33,48,0,1
11,M54,24,53,0,1
11,E11,25,47,0,1
11,K31,24,45,0,1
11,K46,28,40,0,1
11,S52,22,45,0,1
11,C50,0,65,0,1
11,N81,0,62,0,1
11,R99,353,512,0,1
12,N18,1281,403,0,1
12,U07,239,224,1,1
12,Z98,174,289,0,1
12,K81,115,327,0,1
12,E14,113,187,0,1
12,H26,136,140,0,1
12,A09,89,168,0,1
12,K80,53,161,0,1
12,I10,68,139,0,1
12,N39,37,128,0,1
12,J18,61,83,0,1
12,Z41,27,116,0,1
12,Z01,56,86,0,1
12,N85,0,138,0,1
12,K40,93,41,0,1
12,K35,52,63,0,1
12,E11,28,78,0,1
12,N40,100,0,0,1
12,M54,40,56,0,1
12,N20,49,42,0,1
12,K92,46,44,0,1
12,D25,0,85,0,1
12,S82,24,57,0,1
12,M79,35,45,0,1
12,N81,0,79,0,1
12,H11,46,31,0,1
12,K46,33,43,1,1
12,T14,33,43,0,1
12,K37,21,53,0,1
12,M17,33,39,0,1
12,R99,347,560,2,1
13,N18,1113,952,0,1
13,Z98,209,289,0,1
13,H26,222,244,0,1
13,U07,217,216,0,1
13,E14,153,233,1,1
13,K81,109,269,1,1
13,I10,91,166,0,1
13,A09,74,146,0,1
13,N40,190,0,0,1
13,J18,86,103,0,1
13,K80,50,135,1,1
13,N39,43,141,0,1
13,K40,114,38,0,1
13,Z01,70,74,0,1
13,N85,0,132,0,1
13,N81,0,118,0,1
13,E11,41,67,0,1
13,T14,33,71,0,1
13,K92,51,47,1,1
13,N20,57,39,1,1
13,Z41,15,80,0,1
13,M17,23,69,0,1
13,K74,43,47,0,1
13,S82,30,55,0,1
13,M54,31,52,1,1
13,M79,27,57,0,1
13,K46,36,46,0,1
13,S52,24,54,1,1
13,E87,19,59,0,1
13,H11,35,38,0,1
13,R99,382,527,0,1
14,N18,1190,435,0,1
14,Z98,239,273,0,1
14,H26,253,254,0,1
14,U07,218,166,1,1
14,E14,131,229,1,1
14,K81,92,208,0,1
14,I10,88,172,1,1
14,N40,224,0,0,1
14,A09,63,144,0,1
14,J18,80,104,1,1
14,N39,45,137,0,1
14,K80,38,131,0,1
14,Z01,71,75,0,1
14,K40,106,38,0,1
14,M17,28,77,0,1
14,N81,0,104,0,1
14,I67,56,44,0,1
14,E11,31,68,0,1
14,K74,41,52,0,1
14,E87,22,70,0,1
14,N85,0,89,0,1
14,K46,48,38,0,1
14,K92,42,41,0,1
14,K29,19,56,0,1
14,S72,15,59,0,1
14,N42,72,0,0,1
14,K35,31,38,0,1
14,M54,28,41,0,1
14,K31,20,46,0,1
14,Z41,15,51,0,1
14,R99,344,534,0,1
15,N18,580,628,0,1
15,H26,244,254,0,1
15,Z98,223,251,1,1
15,I10,112,205,1,1
15,E14,114,192,0,1
15,U07,149,150,1,1
15,N40,287,0,0,1
15,A09,82,139,1,1
15,K81,71,142,0,1
15,J18,98,90,0,1
15,N39,40,142,0,1
15,K40,117,36,0,1
15,K80,42,84,0,1
15,Z01,51,65,1,1
15,S72,28,80,0,1
15,E87,34,67,0,1
15,K92,46,48,0,1
15,N81,0,89,0,1
15,I67,34,54,0,1
15,N42,80,0,0,1
15,E11,31,48,0,1
15,M17,24,52,0,1
15,K31,21,53,0,1
15,K46,36,37,0,1
15,T14,23,50,0,1
15,H25,18,53,0,1
15,I50,27,43,0,1
15,D64,32,32,0,1
15,K29,18,44,0,1
15,M54,26,34,0,1
15,R99,306,431,1,1
16,N18,503,200,0,1
16,H26,231,208,0,1
16,Z98,156,162,0,1
16,U07,105,119,1,1
16,J18,98,115,0,1
16,I10,66,128,2,1
16,N40,177,0,0,1
16,N39,73,101,0,1
16,E14,60,101,0,1
16,K81,48,108,0,1
16,A09,58,94,0,1
16,K40,92,35,1,1
16,S72,30,69,0,1
16,K92,32,62,0,1
16,E87,28,63,1,1
16,I67,35,54,0,1
