anio_nacimiento,area_salud,departamento,municipio,codigo_municipio,num_dosis,sexo,n_vacunados,poblacion
2007,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,2a.,Femenino,739,976
2008,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,1a.,Femenino,949,1012
2008,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,2a.,Femenino,839,1012
2009,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,1a.,Femenino,825,958
2009,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,2a.,Femenino,723,958
2010,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,1a.,Femenino,840,1047
2010,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,2a.,Femenino,472,1047
2011,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,1a.,Femenino,664,1032
2011,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,2a.,Femenino,208,1032
2012,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,1a.,Femenino,530,1046
2012,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,2a.,Femenino,39,1046
2013,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,1a.,Femenino,451,1022
2013,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,2a.,Femenino,0,1022
2014,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,1a.,Femenino,271,1013
2015,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,1a.,Femenino,27,1007
2006,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1a.,Femenino,260,704
2006,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,2a.,Femenino,137,704
2007,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1a.,Femenino,631,715
2007,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,2a.,Femenino,517,715
2008,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1a.,Femenino,738,735
2008,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,2a.,Femenino,533,735
2009,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1a.,Femenino,679,704
2009,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,2a.,Femenino,433,704
2010,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1a.,Femenino,668,710
2010,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,2a.,Femenino,379,710
2011,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1a.,Femenino,587,715
2011,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,2a.,Femenino,308,715
2012,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1a.,Femenino,553,789
2012,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,2a.,Femenino,110,789
2013,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1a.,Femenino,508,769
2013,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,2a.,Femenino,26,769
2014,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1a.,Femenino,436,753
2015,ALTA VERAPAZ,ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1a.,Femenino,99,775
2006,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,1a.,Femenino,1047,2818
2006,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,2a.,Femenino,744,2818
2007,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,1a.,Femenino,2388,2859
2007,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,2a.,Femenino,2230,2859
2008,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,1a.,Femenino,2812,3108
2008,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,2a.,Femenino,2501,3108
2009,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,1a.,Femenino,2628,2743
2009,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,2a.,Femenino,2039,2743
2010,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,1a.,Femenino,2140,2789
2010,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,2a.,Femenino,1210,2789
2011,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,1a.,Femenino,1811,2894
2011,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,2a.,Femenino,635,2894
2012,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,1a.,Femenino,1428,2972
2012,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,2a.,Femenino,217,2972
2013,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,1a.,Femenino,1163,2975
2013,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,2a.,Femenino,21,2975
2014,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,1a.,Femenino,1064,2744
2015,ALTA VERAPAZ,ALTA VERAPAZ,SAN PEDRO CARCHA,1609,1a.,Femenino,190,2874
2006,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1a.,Femenino,217,429
2006,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,2a.,Femenino,188,429
2007,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1a.,Femenino,443,410
2007,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,2a.,Femenino,391,410
2008,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1a.,Femenino,418,405
2008,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,2a.,Femenino,372,405
2009,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1a.,Femenino,381,419
