anio_nacimiento,area_salud,departamento,municipio,num_dosis,sexo,n_vacunados,poblacion
2009,2,4,408.0,1,2,97,114
2010,2,4,408.0,0,2,97,101
2010,2,4,408.0,1,2,90,101
2011,2,4,408.0,0,2,84,105
2011,2,4,408.0,1,2,74,105
2012,2,4,408.0,0,2,94,110
2012,2,4,408.0,1,2,74,110
2013,2,4,408.0,0,2,88,106
2013,2,4,408.0,1,2,6,106
2014,2,4,408.0,0,2,89,116
2015,2,4,408.0,0,2,35,117
2006,2,4,413.0,0,2,205,308
2006,2,4,413.0,1,2,106,308
2007,2,4,413.0,0,2,347,320
2007,2,4,413.0,1,2,250,320
2008,2,4,413.0,0,2,469,356
2008,2,4,413.0,1,2,300,356
2009,2,4,413.0,0,2,406,346
2009,2,4,413.0,1,2,199,346
2010,2,4,413.0,0,2,413,401
2010,2,4,413.0,1,2,138,401
2011,2,4,413.0,0,2,415,366
2011,2,4,413.0,1,2,97,366
2012,2,4,413.0,0,2,391,369
2012,2,4,413.0,1,2,55,369
2013,2,4,413.0,0,2,281,359
2013,2,4,413.0,1,2,6,359
2014,2,4,413.0,0,2,260,387
2015,2,4,413.0,0,2,57,424
2006,2,4,402.0,0,2,204,308
2006,2,4,402.0,1,2,184,308
2007,2,4,402.0,0,2,274,293
2007,2,4,402.0,1,2,262,293
2008,2,4,402.0,0,2,303,353
2008,2,4,402.0,1,2,282,353
2009,2,4,402.0,0,2,270,300
2009,2,4,402.0,1,2,233,300
2010,2,4,402.0,0,2,292,324
2010,2,4,402.0,1,2,255,324
2011,2,4,402.0,0,2,266,319
2011,2,4,402.0,1,2,229,319
2012,2,4,402.0,0,2,261,307
2012,2,4,402.0,1,2,177,307
2013,2,4,402.0,0,2,266,337
2013,2,4,402.0,1,2,5,337
2014,2,4,402.0,0,2,229,318
2015,2,4,402.0,0,2,55,322
2006,2,4,,0,2,195,494
2006,2,4,,1,2,124,494
2007,2,4,,0,2,534,611
2007,2,4,,1,2,484,611
2008,2,4,,0,2,447,523
2008,2,4,,1,2,416,523
2009,2,4,,0,2,434,511
2009,2,4,,1,2,369,511
2010,2,4,,0,2,470,532
2010,2,4,,1,2,357,532
2011,2,4,,0,2,410,529
2011,2,4,,1,2,287,529
2012,2,4,,0,2,474,626
2012,2,4,,1,2,204,626
2013,2,4,,0,2,395,554
2013,2,4,,1,2,21,554
2014,2,4,,0,2,394,536
2015,2,4,,0,2,77,574
2006,2,4,403.0,0,2,391,909
2006,2,4,403.0,1,2,210,909
